,Frame,Engine,Engine Coords,Hand,Hand Coords
0,0,+,"([[210, 1233], [743, 1917], [210, 1917], [743, 1233]], 476, 1575)",+,"([[377, 741], [881, 1077], [377, 1077], [881, 741]], 629, 909)"
1,0,+,"([[211, 1230], [745, 1914], [211, 1914], [745, 1230]], 478, 1572)",+,"([[372, 739], [880, 1076], [372, 1076], [880, 739]], 626, 907)"
2,0,+,"([[213, 1229], [745, 1915], [213, 1915], [745, 1229]], 479, 1572)",+,"([[381, 736], [884, 1071], [381, 1071], [884, 736]], 632, 903)"
3,0,+,"([[219, 1228], [745, 1914], [219, 1914], [745, 1228]], 482, 1571)",+,"([[378, 740], [882, 1075], [378, 1075], [882, 740]], 630, 907)"
4,0,+,"([[224, 1223], [746, 1915], [224, 1915], [746, 1223]], 485, 1569)",+,"([[383, 739], [881, 1077], [383, 1077], [881, 739]], 632, 908)"
5,0,+,"([[222, 1221], [750, 1914], [222, 1914], [750, 1221]], 486, 1567)",+,"([[397, 742], [891, 1080], [397, 1080], [891, 742]], 644, 911)"
6,0,+,"([[223, 1218], [751, 1915], [223, 1915], [751, 1218]], 487, 1566)",+,"([[401, 740], [887, 1076], [401, 1076], [887, 740]], 644, 908)"
7,0,+,"([[222, 1214], [755, 1915], [222, 1915], [755, 1214]], 488, 1564)",+,"([[402, 733], [885, 1074], [402, 1074], [885, 733]], 643, 903)"
8,0,+,"([[221, 1213], [754, 1916], [221, 1916], [754, 1213]], 487, 1564)",+,"([[401, 727], [881, 1073], [401, 1073], [881, 727]], 641, 900)"
9,0,+,"([[222, 1210], [753, 1915], [222, 1915], [753, 1210]], 487, 1562)",+,"([[399, 727], [881, 1074], [399, 1074], [881, 727]], 640, 900)"
10,0,+,"([[223, 1206], [751, 1916], [223, 1916], [751, 1206]], 487, 1561)",+,"([[396, 725], [883, 1069], [396, 1069], [883, 725]], 639, 897)"
11,0,+,"([[221, 1207], [755, 1915], [221, 1915], [755, 1207]], 488, 1561)",+,"([[401, 727], [883, 1070], [401, 1070], [883, 727]], 642, 898)"
12,0,+,"([[221, 1203], [756, 1915], [221, 1915], [756, 1203]], 488, 1559)",+,"([[403, 727], [884, 1073], [403, 1073], [884, 727]], 643, 900)"
13,0,+,"([[220, 1207], [756, 1916], [220, 1916], [756, 1207]], 488, 1561)",+,"([[403, 727], [883, 1076], [403, 1076], [883, 727]], 643, 901)"
14,0,+,"([[222, 1204], [757, 1916], [222, 1916], [757, 1204]], 489, 1560)",+,"([[405, 727], [883, 1074], [405, 1074], [883, 727]], 644, 900)"
15,0,+,"([[220, 1201], [760, 1913], [220, 1913], [760, 1201]], 490, 1557)",+,"([[409, 723], [884, 1068], [409, 1068], [884, 723]], 646, 895)"
16,0,+,"([[225, 1200], [764, 1913], [225, 1913], [764, 1200]], 494, 1556)",+,"([[409, 722], [881, 1062], [409, 1062], [881, 722]], 645, 892)"
17,0,+,"([[232, 1199], [768, 1913], [232, 1913], [768, 1199]], 500, 1556)",+,"([[414, 723], [887, 1061], [414, 1061], [887, 723]], 650, 892)"
18,0,+,"([[236, 1198], [773, 1913], [236, 1913], [773, 1198]], 504, 1555)",+,"([[416, 719], [885, 1058], [416, 1058], [885, 719]], 650, 888)"
19,0,+,"([[234, 1194], [776, 1913], [234, 1913], [776, 1194]], 505, 1553)",+,"([[420, 717], [888, 1050], [420, 1050], [888, 717]], 654, 883)"
20,0,+,"([[237, 1193], [779, 1912], [237, 1912], [779, 1193]], 508, 1552)",+,"([[418, 715], [889, 1048], [418, 1048], [889, 715]], 653, 881)"
21,0,+,"([[235, 1192], [779, 1910], [235, 1910], [779, 1192]], 507, 1551)",+,"([[415, 713], [882, 1044], [415, 1044], [882, 713]], 648, 878)"
